id	name	aliases	charge	formula
tRNA-Glu_c0	tRNA-Glu_c0	KEGG:C01641;SEED:cpd11912	0	C10H12N5O3R
L-Glutamyl-tRNA-Glu_c0	L-Glutamyl-tRNA-Glu_c0	KEGG:C02987;SEED:cpd12227	0	C15H19N6O6R
Methane_c0	Methane_c0	KEGG:;SEED:cpd01024	0	CH4
Isotetradecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	Isotetradecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	KEGG:;SEED:cpd15751	-24	C115H224O135P24
Isotetradecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	Isotetradecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	KEGG:;SEED:cpd15769	-24	C307H536N24O255P24
N-5-phosphoribosyl-anthranilate_c0	N-5-phosphoribosyl-anthranilate_c0	KEGG:C04302;SEED:cpd02642	-2	C12H14NO9P
fa12coa_c0	fa12coa_c0	KEGG:;SEED:cpd11434	-3	C38H65N7O17P3S
fa12_c0	fa12_c0	KEGG:;SEED:cpd11433	-1	C17H33O2
Myristoyl-CoA_c0	Myristoyl-CoA_c0	KEGG:C02593;SEED:cpd01695	-3	C35H59N7O17P3S
Myristic_acid_c0	Myristic_acid_c0	KEGG:;SEED:cpd03847	-1	C14H27O2
Cytosine_e0	Cytosine_e0	KEGG:C00380;SEED:cpd00307	0	C4H5N3O
n-acetylglutamyl-phosphate_c0	n-acetylglutamyl-phosphate_c0	KEGG:C04133;SEED:cpd02552	-2	C7H10NO8P
CDP-1_2-didodecanoylglycerol_c0	CDP-1_2-didodecanoylglycerol_c0	KEGG:;SEED:cpd15417	-2	C36H63N3O15P2
phosphatidylserine_didodecanoyl_c0	phosphatidylserine_didodecanoyl_c0	KEGG:;SEED:cpd15552	-2	C30H56NO10P
O-Succinyl-L-homoserine_c0	O-Succinyl-L-homoserine_c0	KEGG:C01118;SEED:cpd00822	-1	C8H12NO6
Precorrin_3B_c0	Precorrin_3B_c0	KEGG:;SEED:cpd03833	-6	C43H44N4O17
ADC_c0	ADC_c0	KEGG:C11355;SEED:cpd08210	-1	C10H10NO5
Gly-Tyr_c0	Gly-Tyr_c0	KEGG:;SEED:cpd15606	0	C11H14N2O4
L-Lactaldehyde_c0	L-Lactaldehyde_c0	KEGG:C00424;SEED:cpd00334	0	C3H6O2
L-Fuculose1-phosphate_c0	L-Fuculose1-phosphate_c0	KEGG:C01099;SEED:cpd00806	-1	C6H12O8P
L-Valine_c0	L-Valine_c0	KEGG:C00183;SEED:cpd00156	0	C5H11NO2
Palmitoyl-CoA_c0	Palmitoyl-CoA_c0	KEGG:C00154;SEED:cpd00134	-3	C37H63N7O17P3S
Palmitate_c0	Palmitate_c0	KEGG:C00249;SEED:cpd00214	-1	C16H31O2
Isoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	Isoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	KEGG:;SEED:cpd15767	-24	C313H548N24O255P24
Isoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	Isoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	KEGG:;SEED:cpd15749	-24	C121H236O135P24
GDP_c0	GDP_c0	KEGG:C00035;SEED:cpd00031	-2	C10H13N5O11P2
UDP-N-acetyl-D-mannosamine_c0	UDP-N-acetyl-D-mannosamine_c0	KEGG:C01170;SEED:cpd00861	-2	C17H25N3O17P2
cAMP_c0	cAMP_c0	KEGG:C00575;SEED:cpd00446	-1	C10H11N5O6P
Adenosine_c0	Adenosine_c0	KEGG:C00212;SEED:cpd00182	0	C10H13N5O4
HMG-CoA_c0	HMG-CoA_c0	KEGG:C00356;SEED:cpd00292	-4	C27H40N7O20P3S
Sulfate_c0	Sulfate_c0	KEGG:C00059;SEED:cpd00048	-2	O4S
4-Phospho-L-aspartate_c0	4-Phospho-L-aspartate_c0	KEGG:C03082;SEED:cpd01977	-1	C4H7NO7P
Geranyldiphosphate_c0	Geranyldiphosphate_c0	KEGG:C00341;SEED:cpd00283	-2	C10H18O7P2
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0	KEGG:;SEED:cpd03487	-3	C94H153N8O26P2
