id	charge	formula	name	aliases
Precorrin_3A_c0	-6	C43H44N4O16	Precorrin_3A_c0	|
Cobalt-precorrin_7_c0	-6	C45H50CoN4O16	Cobalt-precorrin_7_c0	|
Cobalt-precorrin_8_c0	-5	C45H53CoN4O14	Cobalt-precorrin_8_c0	|
Uracil_c0	0	C4H4N2O2	Uracil_c0	C00106|cpd00092
Cytosine_c0	0	C4H5N3O	Cytosine_c0	C00380|cpd00307
Myristoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	-24	C115H224O135P24	Myristoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	|
UDP_c0	-2	C9H12N2O12P2	UDP_c0	C00015|cpd00014
Myristoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	-24	C307H536N24O255P24	Myristoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	|
UDP-N-acetylglucosamine_c0	-2	C17H25N3O17P2	UDP-N-acetylglucosamine_c0	C00043|cpd00037
fa3_c0	-1	C15H29O2	fa3_c0	|cpd11436
fa3coa_c0	-3	C36H61N7O17P3S	fa3coa_c0	|cpd11437
Dimethylbenzimidazole_c0	0	C9H10N2	Dimethylbenzimidazole_c0	C03114|cpd01997
Niacin_c0	-1	C6H4NO2	Niacin_c0	C00253|cpd00218
Nicotinate_ribonucleotide_c0	-1	C11H13NO9P	Nicotinate_ribonucleotide_c0	|
alpha-Ribazole_5'-phosphate_c0	-1	C14H18N2O7P	alpha-Ribazole_5'-phosphate_c0	|
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-meso-2_6-diaminopimeloyl-D-alanyl-D-alanine_c0	-3	C95H154N9O27P2	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-meso-2_6-diaminopimeloyl-D-alanyl-D-alanine_c0	|
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0	-4	C95H152N8O28P2	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0	|
Oxidizedferredoxin_c0	6	Fe2R4S6	Oxidizedferredoxin_c0	C00139|cpd11621
Reducedferredoxin_c0	4	Fe2R4S6	Reducedferredoxin_c0	C00138|cpd11620
Cobalt-precorrin_3_c0	-6	C43H42CoN4O16	Cobalt-precorrin_3_c0	|
Cobalt-precorrin_2_c0	-6	C42H40CoN4O16	Cobalt-precorrin_2_c0	|
Protein_biosynthesis_c0	0		Protein_biosynthesis_c0	|
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine_c0	-2	C94H155N9O25P2	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine_c0	|
Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0	-3	C94H153N8O26P2	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0	|
Indoleglycerol_phosphate_c0	-1	C11H13NO6P	Indoleglycerol_phosphate_c0	|
indol_c0	0	C8H7N	indol_c0	C00463|cpd00359
5-Amino-6-5-phosphoribitylaminouracil_c0	-1	C9H16N4O9P	5-Amino-6-5-phosphoribitylaminouracil_c0	|
5-Amino-6-5-phosphoribosylaminouracil_c0	-1	C9H14N4O9P	5-Amino-6-5-phosphoribosylaminouracil_c0	|
Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	-24	C313H548N24O255P24	Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	|
Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	-24	C121H236O135P24	Anteisoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	|
Isopentenyldiphosphate_c0	-2	C5H10O7P2	Isopentenyldiphosphate_c0	C00129|cpd00113
Geranylgeranyl_diphosphate_c0	-2	C20H34O7P2	Geranylgeranyl_diphosphate_c0	|
Farnesyldiphosphate_c0	-2	C15H26O7P2	Farnesyldiphosphate_c0	C00448|cpd00350
2_3-Dihydroxy-isovalerate_c0	-1	C5H9O4	2_3-Dihydroxy-isovalerate_c0	|
O-Phospho-L-homoserine_c0	-1	C4H9NO6P	O-Phospho-L-homoserine_c0	C01102|cpd00809
ACTN_c0	0	C4H8O2	ACTN_c0	C00466|C00810|cpd00361
ALCTT_c0	-1	C5H7O4	ALCTT_c0	C06010|C00900|cpd00668
UTP_c0	-3	C9H12N2O15P3	UTP_c0	C00075|cpd00062
D-Glucosamine_phosphate_c0	0	C6H14NO8P	D-Glucosamine_phosphate_c0	|
4-Amino-5-phosphomethyl-2-methylpyrimidine_c0	-1	C6H9N3O4P	4-Amino-5-phosphomethyl-2-methylpyrimidine_c0	C04556|cpd02775
Toxopyrimidine_c0	0	C6H9N3O	Toxopyrimidine_c0	C01279|cpd00939
p-hydroxyphenylpyruvate_c0	-1	C9H7O4	p-hydroxyphenylpyruvate_c0	C01179|cpd00868
L-Tyrosine_c0	0	C9H11NO3	L-Tyrosine_c0	C00082|C01536|cpd00069
Nitrate_c0	-1	NO3	Nitrate_c0	C00244|cpd00209
Nitrate_e0	-1	NO3	Nitrate_e0	C00244|cpd00209
Cobyrinate_c0	-5	C45H53CoN4O14	Cobyrinate_c0	C05773|cpd03421
DNA_replication_c0	0		DNA_replication_c0	|
Co2_c0	2	Co	Co2_c0	|
LL-2_6-Diaminopimelate_c0	0	C7H14N2O4	LL-2_6-Diaminopimelate_c0	|
meso-2_6-Diaminopimelate_c0	0	C7H14N2O4	meso-2_6-Diaminopimelate_c0	|
L-Asparagine_c0	0	C4H8N2O3	L-Asparagine_c0	C00152|cpd00132
gly-asn-L_c0	0	C6H11N3O4	gly-asn-L_c0	|cpd11581
7_8-Dihydroneopterin_3'-triphosphate_c0	-3	C9H13N5O13P3	7_8-Dihydroneopterin_3'-triphosphate_c0	|
dADP_c0	-2	C10H13N5O9P2	dADP_c0	C00206|cpd00177
