reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn01332	0.00870989174630536	HASCOMPLEXES	///kb|cpx.50927 (0.0000; CPLX_NOTTHERE) ///kb|cpx.357 (0.0087; CPLX_PARTIAL_1_of_3) 	fig|267377.1.peg.1528
rxn12500	0	HASCOMPLEXES	///kb|cpx.1002 (0.0000; CPLX_NOTTHERE) 	
rxn08806	0	HASCOMPLEXES	///kb|cpx.34 (0.0000; CPLX_NOTTHERE) ///kb|cpx.35 (0.0000; CPLX_NOTTHERE) 	
rxn11702	0	HASCOMPLEXES	///kb|cpx.781 (0.0000; CPLX_NOTTHERE) 	
rxn11703	0	HASCOMPLEXES	///kb|cpx.50346 (0.0000; CPLX_NOTTHERE) 	
rxn01127	0	HASCOMPLEXES	///kb|cpx.811 (0.0000; CPLX_NOTTHERE) 	
rxn01121	0	HASCOMPLEXES	///kb|cpx.1152 (0.0000; CPLX_NOTTHERE) 	
rxn01122	0	HASCOMPLEXES	///kb|cpx.445 (0.0000; CPLX_NOTTHERE) 	
rxn01123	0.0180728219082511	HASCOMPLEXES	///kb|cpx.1073 (0.0181; CPLX_FULL) 	fig|267377.1.peg.418
rxn01128	0	HASCOMPLEXES	///kb|cpx.7 (0.0000; CPLX_NOTTHERE) 	
rxn01129	0	HASCOMPLEXES	///kb|cpx.7 (0.0000; CPLX_NOTTHERE) 	
rxn01945	0	HASCOMPLEXES	///kb|cpx.857 (0.0000; CPLX_NOTTHERE) 	
rxn02699	0	HASCOMPLEXES	///kb|cpx.50652 (0.0000; CPLX_NOREPS) ///kb|cpx.51039 (0.0000; CPLX_NOREPS) ///kb|cpx.50482 (0.0000; CPLX_NOREPS) ///kb|cpx.50268 (0.0000; CPLX_NOREPS) ///kb|cpx.50638 (0.0000; CPLX_NOREPS) 	
rxn01544	0.0171886735635831	HASCOMPLEXES	///kb|cpx.605 (0.0023; CPLX_FULL) ///kb|cpx.1798 (0.0172; CPLX_FULL) ///kb|cpx.607 (0.0000; CPLX_NOTTHERE) 	fig|267377.1.peg.145
rxn01545	0	HASCOMPLEXES	///kb|cpx.1118 (0.0000; CPLX_NOTTHERE) 	
rxn01236	0	HASCOMPLEXES	///kb|cpx.1760 (0.0000; CPLX_NOTTHERE) 	
rxn01548	0.110228798921275	HASCOMPLEXES	///kb|cpx.288 (0.0034; CPLX_FULL) ///kb|cpx.287 (0.1102; CPLX_FULL) 	fig|267377.1.peg.185
