cco_keggcompound_id	cco_chebi_id
C10851	3337
C09557	9441
C14568	34590
C00894	15513
C01103	15842
C03175	17052
C08169	6741
C09064	2913
C17960	81412
C00265	42106
C09476	2294
C06105	41674
C14053	34502
C17477	81119
C00103	16077
C08585	3378
C04579	48405
C17630	81230
C05259	15491
C16270	80411
C07877	3636
C17415	81071
C00024	15351
C12260	31030
C03955	17374
C03673	18117
C12621	32357
C05539	17355
C15101	79620
C15480	79971
C08406	79362
C17647	81243
C00265	18320
C12206	86071
C15026	79548
C07449	6896
C14864	34959
C15488	14272
C04631	16435
C11959	29543
C01835	61993
C06563	28088
C15520	37623
C18044	35420
C01531	9352
C07626	2674
C13679	34574
C02938	17566
C08067	3238
C19366	82422
C13753	34467
C08867	5644
C04382	28703
C17624	75643
C03771	28116
C10525	8898
C01785	18135
C03838	18349
C04886	17725
C09926	4573
C09192	9377
C08416	5412
C06786	8351
C08573	2369
C16754	80705
C11785	7633
C12037	29669
C15996	45075
C06345	1588
C00761	16220
C06802	2376
C17065	80901
C17050	80890
C07124	9398
C10865	8607
C08409	5404
C09358	3624
C09037	2821
C04171	48968
C11664	694
C05417	28033
C02528	16755
C19469	48977
C16852	68281
C11178	8806
C16151	80354
C12324	31103
C14408	35289
C07289	16423
C06528	27509
C14455	34870
C06979	157175
C03679	17346
C15483	15945
C06701	16215
C04628	28890
C01081	9533
C10978	9676
C07547	9774
C17110	80936
C18955	82095
C06316	17803
C15673	36602
C15898	62505
C03114	15890
C00883	27680
C01607	16285
C11095	3751
C10648	2986
C02095	27442
C16949	80816
C01161	41941
C16548	80556
C07789	7769
C02172	16050
C04514	28809
C12466	74154
C00561	16910
C03709	17648
C04216	53046
C15787	36799
C09711	8236
C09258	4353
C17809	81347
C17527	81160
C17167	80955
C12306	31188
C02636	16758
C18942	82083
C09556	9394
C07151	6801
C09920	3170
C09559	9498
C06203	59354
C08561	9777
C16390	49077
C05551	18208
C14397	34718
C15378	79879
C16363	44383
C05143	27826
C19240	82328
C07268	71415
C07708	6935
C14914	79439
C03217	16278
C17957	81409
C01514	15864
C00325	17009
C01677	16213
C13761	34600
C00137	27374
C09403	4773
C17512	81147
C16358	68444
C18267	81618
C14759	34384
C19607	82593
C04751	28413
C07500	63638
C11148	28888
C12239	31153
C07142	9611
C08267	6198
C10770	3104
C17343	81017
C17932	81390
C13846	34900
C18736	81925
C03368	16861
C02985	12387
C06639	28410
C18052	50280
C14299	38069
C08844	6994
C11294	5971
C01452	27922
C14621	34510
C06739	16099
C19411	82459
C14465	34439
C04020	17213
C11888	29615
C15113	79632
C16362	80471
C00084	15343
C19060	82186
C08837	27709
C06216	61954
C05430	27362
C17012	80860
C17746	81311
C03049	17314
C15248	79750
C11473	4947
C10876	27901
C14256	34133
C08637	9402
C05828	1606
C02766	28785
C15744	80072
C10689	5541
C05401	15754
C02290	48604
C08954	69370
C07433	8068
C08539	3079
C02253	16270
C00037	15428
C18609	70721
C11515	15661
C08697	6590
C16326	80447
C00955	17890
C08701	7626
C14853	30614
C16157	47039
C07550	6958
C08762	2222
C09793	28705
C03579	28861
C02214	36460
C07280	8830
C11771	9010
C07499	8097
C02217	17130
C11792	6125
C10835	9687
C15925	80182
C14007	34617
C17392	81055
C12889	32350
C18468	81767
C18770	38576
C13820	34637
C12308	28211
C00140	28009
C18798	81968
C04058	28898
C15663	80010
C00013	29888
C16478	80520
C18264	81615
C09800	9370
C18723	74889
C18023	50207
C10494	10138
C15942	80195
C08646	28090
C19222	82313
C00979	17981
C06496	3846
C05961	28158
C06597	18904
C14456	34399
C13844	34662
C09423	4838
C17701	81279
C00187	16113
C06981	4858
C14861	34958
C14406	34345
C15428	79928
C18704	81900
C15638	79998
C00086	16199
C02784	27490
C04229	28162
C14658	34930
C06425	28822
C09528	8205
C18788	81961
C18900	83571
C09139	3887
C15051	79571
C13189	31338
C09728	76125
C19314	82378
C13858	74001
C08510	8914
C04352	15769
C19518	82529
C18836	81997
C16833	80761
C07815	5134
C06960	4636
C12285	32159
C15546	29043
C18703	81899
C15255	79757
C04501	16446
C10998	1784
C07866	4682
C05640	3715
C01854	27955
C17973	81424
C06232	25371
C08760	5370
C03068	1543
C07665	4885
C01843	73647
C19295	38211
C17362	81031
C03108	71981
C17720	76130
C16259	50109
C18364	364453
C05465	16525
C09930	5522
C09120	6086
C15435	39294
C06696	25016
C10799	4029
C16953	70074
C11397	152
C17432	60721
C11058	27785
C06890	553473
C08486	4896
C01187	32817
C15879	80150
C08182	8381
C18913	82056
C18082	81487
C01929	27676
C09582	9963
C18876	39386
C09347	28780
C01661	28748
C15206	79719
C12197	31024
C16818	78293
C13703	34794
C18487	45141
C07379	8459
C14661	34340
C18456	83748
C07655	9283
C00450	49015
C11769	8747
C11751	9391
C01348	10535
C12554	32029
C09619	8836
C11869	29594
C07425	63617
C02287	16513
C07764	6822
C14840	34587
C18362	76277
C07613	7445
C06428	28364
C04170	18360
C15266	79768
C18804	81972
C15518	37640
C07140	9588
C14365	34216
C14214	34687
C09118	6039
C19246	82332
C02527	17260
C10161	7564
C09435	4930
C04640	18413
C05778	18023
C01126	16619
C00805	16914
C04717	15655
C03870	28596
C14179	50519
C14218	44630
C03348	1416
C08939	4002
C13827	35255
C09355	3574
C15326	79828
C00543	17170
C14534	38978
C12208	15937
C01342	28938
C12491	32079
C05560	6163
C01684	28029
C05650	28889
C04108	15690
C19074	82199
C04234	17541
C18100	81502
C09865	5068
C17501	81137
C09483	5942
C09345	2853
C13708	34795
C11121	8489
C15024	79547
C17778	74131
C02371	27893
C10524	8633
C15140	79658
C17966	63459
C05786	15617
C01234	18053
C17522	81155
C14509	34123
C01709	28230
C18975	82114
C13760	35049
C09307	8632
C11160	9495
C00304	17630
C14611	34072
C17824	81356
C12311	32119
C01683	4219
C05533	7814
C00068	9532
C18657	38963
C10798	4021
C02923	18404
C19199	82294
C06029	28456
C16996	80849
C10394	8608
C01015	18240
C16315	80441
C06398	15915
C00937	17167
C14781	34160
C19082	50244
C00746	7872
C02646	28386
C01737	7508
C07588	9008
C00137	10642
C00962	27667
C02799	1726
C03548	15900
C08885	2513
C15095	79614
C04691	18150
C10630	5759
C08123	2969
C15365	79867
C02230	27564
C18714	81908
C01697	16813
C15329	79831
C02794	1547
C18952	82092
C16894	80784
C10627	5722
C13813	34644
C08378	27640
C00305	18420
C16222	80389
C16338	80459
C11712	9444
C17584	81199
C09284	8035
C18122	81524
C09414	4835
C01553	2687
C11465	1403
C10493	9031
C15449	79947
C09525	7943
C09683	5727
C03582	45713
C00450	49014
C17504	81140
C05825	19450
C19058	82185
C08539	37937
C07318	102484
C10601	6011
C09083	3174
C12307	31457
C16699	60331
C13742	27575
C09663	10278
C09574	9956
C12098	29516
C06803	2379
C06550	28506
C11733	41934
C03515	18128
C16529	52974
C13699	34507
C10417	4357
C16146	80352
C06953	490877
C11493	3415
C11272	5115
C18596	81855
C09137	6991
C01743	7933
C07834	27909
C11825	16229
C02018	3982
C01806	43000
C15466	79963
C06338	18289
C18270	81621
C06607	28006
C17364	81033
C15589	48965
C01092	12266
C14499	34054
C00233	48430
C03433	9278
C10526	115
C01411	28093
C02335	15507
C00639	15553
C15451	79949
C17251	50703
C05665	18090
C06070	5968
C01971	18147
C16375	65130
C02896	17148
C19273	82353
C02711	7203
C03805	36476
C19015	82148
C12432	31359
C00021	16680
C05526	8959
C09515	7023
C02020	16133
C00715	44992
C01144	15453
C10437	3594
C14423	34069
C12118	29677
C16487	29228
C04594	15654
C02985	28319
C10783	28827
C04068	27687
C18872	77058
C19353	82412
C06098	27547
C17482	81122
C03982	16616
C12673	32188
C18026	81456
C04434	15668
C08794	3941
C00073	16643
C12171	31037
C08862	28143
C10189	9395
C00617	16085
C00507	62346
C00137	27987
C06697	29866
C08975	8996
C09220	6646
C09226	6956
C00896	9640
C09894	27474
C10722	6734
C16444	80495
C16376	65131
C04729	16773
C09033	2764
C06384	16481
C05488	28324
C17955	51479
C11609	7569
C06589	32922
C02364	28665
C07718	1126
C14253	34686
C08906	7932
C09329	2537
C03003	49124
C13727	34524
C09842	39100
C05460	52432
C16334	80455
C18507	39164
C14221	34471
C10839	9909
C11829	15434
C19360	82416
C16776	64361
C15508	38685
C07241	64064
C02078	9215
C11432	27528
C05381	1463
C05229	17465
C02381	2212
C07526	9468
C15561	41117
C00888	15536
C00366	46811
C05585	28508
C08978	9110
C10604	6610
C14396	34656
C11079	8248
C15163	79681
C19069	82194
C14454	47696
C00586	84755
C08580	40968
C15060	79580
C19417	82463
C16285	80422
C12798	32272
C16704	80669
C06424	30807
C18962	82101
C15324	79826
C13829	34478
C00835	16095
C17414	81070
C08757	3578
C09789	28819
C05400	4808
C02518	27565
C12245	31833
C04485	17181
C11013	27873
C02360	17023
C11411	150
C04067	16879
C15129	79647
C09034	2783
C08528	5724
C03829	47832
C09884	28996
C14310	34922
C00224	17709
C16487	24061
C08073	7488
C13623	33220
C12948	31802
C18986	82125
C18063	48399
C09247	9693
C18511	39171
C10807	5338
C10216	42202
C10547	3222
C02982	18164
C19282	82361
C09535	8652
C06779	719
C19457	35860
C14188	34348
C06327	17031
C14090	52367
C00679	42819
C13072	32147
C04877	28639
C03912	371
C03044	16982
C18719	81912
C13454	32303
C19016	38949
C06510	2479
C13711	35010
C19396	82445
C10742	9768
C04638	50725
C03465	28654
C05649	30156
C02183	16204
C12459	31110
C02504	35128
C18513	39185
C06314	6498
C01337	10048
C09342	2826
C12179	32185
C11416	149
C11763	6943
C04337	7549
C10375	63924
C09154	4776
C05151	37537
C08739	10222
C14772	63974
C02363	27990
C10605	6631
C11642	797
C07508	8247
C15846	80125
C07784	4637
C13240	35702
C08636	9401
C11054	9230
C19441	82481
C17581	65027
C15220	79732
C08433	2625
C12213	31748
C09164	4821
C05954	28099
C00858	18088
C13101	31669
C07474	39460
C10653	3214
C09555	76105
C05328	29090
C09567	70649
C09755	28775
C07771	9421
C12635	31744
C00466	15688
C06469	7539
C00272	59560
C12446	32338
C03283	48950
C04203	15783
C16503	80535
C03197	11047
C01508	28480
C07475	48723
C19076	82201
C01298	17156
C18040	81468
C17569	61683
C01757	16558
C17093	80922
C19094	82216
C08345	10111
C10462	10136
C15702	80034
C01075	16702
C09204	9747
C16152	80355
C11391	367
C04655	15608
C07246	9123
C01619	9568
C00978	17697
C17486	81125
C08307	5762
C16817	80751
C00860	16255
C12076	29573
C03240	16089
C08110	3485
C12129	31220
C07840	5165
C00879	30852
C17662	43419
C16632	80626
C15493	15367
C06791	29027
C14555	34138
C14236	34406
C13662	34543
C10993	5105
C15550	79976
C05584	20106
C14362	34221
C02334	10095
C17539	81170
C15587	17258
C15556	50606
C06935	4046
C18950	82090
C10590	4765
C07661	5280
C18409	39283
C13142	31375
C16075	50723
C12449	32072
C11872	29611
C01251	17852
C07967	3131
C09376	3855
C14910	79435
C14335	39106
C01762	18107
C11084	5006
C08638	9602
C15484	11909
C02168	6717
C17218	80966
C01033	15477
C04368	16939
C11263	29022
C09830	66773
C17389	81053
C18135	81532
C11580	2301
C02104	28880
C17059	80897
C10588	4311
C09540	8856
C17964	81416
C19609	49786
C11416	153
C11230	47898
C15525	10836
C08878	9032
C17243	80984
C09003	860
C04415	47893
C10069	5982
C03901	17195
C00149	30797
C08964	37658
C09633	3573
C11498	18354
C04441	17144
C14265	34864
C06251	27422
C10016	10122
C08683	4970
C06753	28200
C17357	81026
C18984	82123
C19475	82505
C15180	79698
C05477	1298
C09925	1995
C01924	27747
C09466	5379
C10500	512
C16207	40448
C16546	80554
C09598	7853
C14663	35001
C15471	30421
C15231	52497
C00346	17553
C02087	9639
C08497	19591
C19250	24565
C14241	34361
C03987	52989
C01464	10057
C10108	70082
C13557	63043
C06970	4708
C14999	79522
C00715	37105
C16415	80488
C06269	27563
C00370	15889
C00580	17437
C15355	79857
C08514	1446
C02785	18298
C15411	79912
C15119	79638
C06011	61691
C15733	80062
C06032	27394
C16141	41595
C11481	17137
C03293	17469
C09184	9135
C00007	25805
C07075	24536
C11467	7336
C01949	16472
C12419	31244
C10073	67486
C09317	10073
C19129	82250
C01413	48775
C16417	66331
C04281	6151
C00088	16301
C00922	23812
C10782	9198
C01582	28061
C07271	35672
C18802	59345
C00633	17597
C08919	10087
C10694	5620
C19112	82234
C06453	28115
C10727	6738
C10183	9061
C00331	29750
C13945	34301
C06996	439329
C15346	79848
C06758	28617
C13906	34553
C14145	34002
C15530	14027
C00262	17368
C15442	79940
C16162	51985
C09052	3154
C15042	79562
C11705	8983
C03164	16760
C07456	6061
C11130	28536
C10569	2708
C19131	82252
C03906	15807
C08835	28135
C19409	82457
C07391	8673
